mean,std,var,min,max,ptp,rms,zcr,bp_0_0p5,bp_0p5_3,bp_3_10,bp_10_40,spec_centroid,label,record
0.001601666666666666,0.13719065686319734,0.018821276330555557,-0.495,0.59,1.085,0.137200006073858,0.10485080846807801,2.6621276649960015e-05,0.00868515433864389,0.004005667939059169,0.0057114053116460945,9.580938618043081,0,a02
0.00018499999999999975,0.1352683103132437,0.018297515775,-0.48,0.62,1.1,0.13526843682101158,0.10451741956992833,2.622203364201434e-05,0.008282070942304903,0.0038832677349102487,0.005749654496895087,9.700453779272168,0,a02
-7.83333333333341e-05,0.13295144049823437,0.017676085530555555,-0.525,0.635,1.1600000000000001,0.13295146357474472,0.10701783630605101,4.267251572143803e-05,0.007739724380605183,0.0037126556711274093,0.005930309022277949,10.14225598938266,0,a02
0.001475833333333333,0.145346486309917,0.02112560108263889,-0.65,0.725,1.375,0.14535397884704315,0.11468578096349391,4.766709332162495e-05,0.007986127502087135,0.004250406692025192,0.007520260227151101,10.752655895545232,0,a02
-4.7499999999999765e-05,0.1420032343895143,0.020164918577083333,-0.63,0.8,1.4300000000000002,0.14200324233387537,0.17586264377396232,5.653564359896803e-05,0.006835832657758568,0.0038024874997823663,0.008370138345129102,12.106064216100544,0,a02
0.00040083333333333323,0.14129370179159517,0.019963910165972223,-0.59,0.725,1.315,0.14129427034856484,0.11968661443573929,3.701412365220774e-05,0.007739096043612517,0.004234408837725972,0.0071860828872252975,10.742926886313366,0,a02
-0.00021250000000000012,0.15643377409333106,0.024471525677083335,-1.77,1.2,2.9699999999999998,0.15643391842350984,0.12502083680613435,0.00024923837678669016,0.008462388840256498,0.006369444867784823,0.009515148043332774,10.863098925526682,0,a02
0.0011308333333333335,0.1362090931226897,0.018552917049305555,-0.56,0.745,1.3050000000000002,0.13621378723658384,0.11518586431071845,2.9442247211241692e-05,0.007791680131242361,0.0038248731571941985,0.006386858962999598,10.567785897142661,0,a02
0.00037916666666666584,0.21188782897083122,0.044896452065972224,-1.965,2.9,4.865,0.21188816822402645,0.19086514419069844,0.0029462386259502186,0.007795661368952645,0.008088509518981277,0.022574318777380017,16.332582219862804,0,a02
0.0017233333333333328,0.1288138066702824,0.01659299678888889,-0.25,0.93,1.1800000000000002,0.12882533394742926,0.1171861976996166,0.00025940637976354315,0.004809050257466103,0.004623546389697134,0.006123594126808893,11.692740599129568,0,a02
0.0008966666666666668,0.13028403325896165,0.016973929322222223,-0.285,0.815,1.0999999999999999,0.1302871188311927,0.10618436406067679,0.00015923308237624113,0.0061727268925842954,0.004429054053754574,0.005660128572589891,10.838289105670396,0,a02
0.0005849999999999994,0.12885049259380685,0.01660244944166667,-0.325,0.95,1.275,0.12885182057955824,0.11951991998666445,0.00023681593575887208,0.0053238941342542544,0.004581772061871651,0.0059958230321280415,11.408972046693195,0,a02
0.000315,0.126149121182036,0.015913600775,-0.325,0.805,1.1300000000000001,0.1261495144659701,0.10501750291715285,0.00011511700196637241,0.005703635003098515,0.004268115080474372,0.00528660889480473,10.759453501686762,0,a02
0.000825,0.12769042397533184,0.016304844375000002,-0.345,0.75,1.095,0.1276930890847269,0.10885147524587431,7.981769305517629e-05,0.005942663713565999,0.004253697609521694,0.005387917208484832,10.853865162213026,0,a02
0.000860833333333333,0.12633861826841475,0.015961446465972223,-0.32,0.765,1.085,0.12634155096404348,0.10601766961160193,7.077533816882844e-05,0.00580524151568653,0.004198601397631867,0.00543051352562637,11.021020321652305,0,a02
0.0006183333333333327,0.15096305065773177,0.02278984266388889,-1.435,1.11,2.545,0.15096431697589996,0.12902150358393066,0.00022758798427466222,0.006158436055789982,0.006574894575007374,0.0073250918396459965,11.24960948677874,0,a02
7.499999999999929e-05,0.12351090791909838,0.015254944375,-0.325,0.895,1.22,0.1235109306903644,0.11085180863477247,9.474401239395981e-05,0.004423137943123689,0.00417390530174173,0.005934680100499046,11.954724812881201,0,a02
0.00018166666666666619,0.1268279030703505,0.01608531699722222,-0.36,0.77,1.13,0.126828033178789,0.1073512252042007,8.677016364607221e-05,0.005463322513637504,0.004055870956285481,0.005817301852429927,11.642853962587166,0,a02
